min_salary,max_salary,vacany,description,min_expense,max_expense
42721,50000,1,Health Care Services,42721.0,50001.0
94715,94715,1,Human Resource & Employment Services,94715.0,94716.0
57976,84276,1,Diversified Support Services,57976.0,84277.0
56677,65179,7,Human Resource & Employment Services,396739.0,65186.0
98470,133496,1,Research & Consulting Services,98470.0,133497.0
60010,100875,1,Research & Consulting Services,60010.0,100876.0
61206,70387,1,Regional Banks,61206.0,70388.0
56869,56869,1,Health Care Services,56869.0,56870.0
83815,95000,1,Life Sciences Tools & Services,83815.0,95001.0
80557,111917,1,Research & Consulting Services,80557.0,111918.0
74650,109409,1,Research & Consulting Services,74650.0,109410.0
74041,107227,1,Research & Consulting Services,74041.0,107228.0
57976,66672,1,Health Care Services,57976.0,66673.0
59116,90050,1,Construction & Engineering,59116.0,90051.0
58682,134570,1,Research & Consulting Services,58682.0,134571.0
59301,68196,1,Health Care Services,59301.0,68197.0
57976,66672,3,Human Resource & Employment Services,173928.0,66675.0
105746,150000,1,Research & Consulting Services,105746.0,150001.0
58700,85000,1,Research & Consulting Services,58700.0,85001.0
26.37,26.37,8,Human Resource & Employment Services,210.96,34.370000000000005
58851,84257,1,Research & Consulting Services,58851.0,84258.0
62389,70498,1,Environmental & Facilities Services,62389.0,70499.0
58695,67499,1,Construction & Engineering,58695.0,67500.0
58682,134570,1,Research & Consulting Services,58682.0,134571.0
64608,68034,1,Research & Consulting Services,64608.0,68035.0
68183,70288,1,Research & Consulting Services,68183.0,70289.0
60208,71421,2,Research & Consulting Services,120416.0,71423.0
85000,90000,1,Research & Consulting Services,85000.0,90001.0
69090,105477,1,Research & Consulting Services,69090.0,105478.0
38858,43909,12,Health Care Services,466296.0,43921.0
76584,112111,1,Data Processing & Outsourced Services,76584.0,112112.0
88026,122295,2,Construction & Engineering,176052.0,122297.0
49961,49961,1,Research & Consulting Services,49961.0,49962.0
95000,105000,1,Research & Consulting Services,95000.0,105001.0
73029,107348,1,Human Resource & Employment Services,73029.0,107349.0
92301,109330,1,Research & Consulting Services,92301.0,109331.0
59116,70087,1,Health Care Services,59116.0,70088.0
67757,98128,1,Research & Consulting Services,67757.0,98129.0
62370,71726,1,Research & Consulting Services,62370.0,71727.0
58682,159671,1,Construction & Engineering,58682.0,159672.0
82330,116104,1,Oil & Gas Equipment & Services,82330.0,116105.0
58682,127720,1,Construction & Engineering,58682.0,127721.0
75000,180000,1,Construction & Engineering,75000.0,180001.0
58682,106450,1,Research & Consulting Services,58682.0,106451.0
225000,240000,1,Research & Consulting Services,225000.0,240001.0
56181,68034,1,Research & Consulting Services,56181.0,68035.0
64137,73758,1,Diversified Support Services,64137.0,73759.0
84451,113550,1,Research & Consulting Services,84451.0,113551.0
62.88,62.88,1,Construction & Engineering,62.88,63.88
74650,109409,1,Research & Consulting Services,74650.0,109410.0
58695,89699,1,Human Resource & Employment Services,58695.0,89700.0
100000,160000,1,Construction & Engineering,100000.0,160001.0
555.84,555.84,5,Construction & Engineering,2779.2000000000003,560.84
63899,88852,3,Environmental & Facilities Services,191697.0,88855.0
58700,102226,1,Health Care Services,58700.0,102227.0
58110,58110,7,Research & Consulting Services,406770.0,58117.0
56625,56625,1,Health Care Services,56625.0,56626.0
65000,75000,1,Research & Consulting Services,65000.0,75001.0
93288,130988,1,IT Consulting & Other Services,93288.0,130989.0
84451,84451,1,Research & Consulting Services,84451.0,84452.0
62370,71726,1,Construction & Engineering,62370.0,71727.0
36006,50569,1,Diversified Support Services,36006.0,50570.0
70022,70022,1,Research & Consulting Services,70022.0,70023.0
78745,133496,1,Construction & Engineering,78745.0,133497.0
97187,165000,1,Research & Consulting Services,97187.0,165001.0
71255,81943,1,Research & Consulting Services,71255.0,81944.0
83733,96293,1,Auto Parts & Equipment,83733.0,96294.0
58700,161534,1,Construction & Engineering,58700.0,161535.0
103497,126181,1,Human Resource & Employment Services,103497.0,126182.0
98470,133496,1,Construction & Engineering,98470.0,133497.0
92283,98000,1,Human Resource & Employment Services,92283.0,98001.0
60265,68099,2,Research & Consulting Services,120530.0,68101.0
73294,107071,2,Construction & Engineering,146588.0,107073.0
49328,72571,1,Research & Consulting Services,49328.0,72572.0
74041,85147,1,Construction & Engineering,74041.0,85148.0
88026,122295,1,Construction & Engineering,88026.0,122296.0
82506,97728,1,Research & Consulting Services,82506.0,97729.0
82330,116104,1,Oil & Gas Equipment & Services,82330.0,116105.0
81571,93807,1,Research & Consulting Services,81571.0,93808.0
74041,85147,1,Construction & Engineering,74041.0,85148.0
60001,67000,1,Health Care Technology,60001.0,67001.0
78721,209971,1,Research & Consulting Services,78721.0,209972.0
60617,69709,1,Research & Consulting Services,60617.0,69710.0
59116,67983,1,Research & Consulting Services,59116.0,67984.0
58700,150000,1,Research & Consulting Services,58700.0,150001.0
92301,121296,1,Research & Consulting Services,92301.0,121297.0
82506,94882,1,Research & Consulting Services,82506.0,94883.0
88026,110000,1,Research & Consulting Services,88026.0,110001.0
85869,94512,1,Human Resource & Employment Services,85869.0,94513.0
88026,108150,1,Research & Consulting Services,88026.0,108151.0
56313,64760,1,Research & Consulting Services,56313.0,64761.0
39763,45728,1,Diversified Support Services,39763.0,45729.0
82506,94882,1,Research & Consulting Services,82506.0,94883.0
81571,93807,1,Research & Consulting Services,81571.0,93808.0
58700,115854,1,Communications Equipment,58700.0,115855.0
51413,59125,11,Research & Consulting Services,565543.0,59136.0
98470,133496,1,Research & Consulting Services,98470.0,133497.0
64137,73758,1,Research & Consulting Services,64137.0,73759.0
73068,195261,1,Research & Consulting Services,73068.0,195262.0
56181,64608,5,Construction & Engineering,280905.0,64613.0
77000,77000,1,Research & Consulting Services,77000.0,77001.0
72038,140000,1,Research & Consulting Services,72038.0,140001.0
81951,102136,1,IT Consulting & Other Services,81951.0,102137.0
88000,175000,20,Research & Consulting Services,1760000.0,175020.0
58695,67499,4,Diversified Support Services,234780.0,67503.0
70940,115000,1,Research & Consulting Services,70940.0,115001.0
56181,68034,1,Human Resource & Employment Services,56181.0,68035.0
179215,196473,1,Research & Consulting Services,179215.0,196474.0
63228,78529,1,Research & Consulting Services,63228.0,78530.0
96772,111288,1,Research & Consulting Services,96772.0,111289.0
78721,209971,1,Research & Consulting Services,78721.0,209972.0
105000,105000,1,Research & Consulting Services,105000.0,105001.0
200000,230800,1,Research & Consulting Services,200000.0,230801.0
78721,125000,1,Health Care Services,78721.0,125001.0
54956,63507,1,IT Consulting & Other Services,54956.0,63508.0
40000,125000,1,Health Care Services,40000.0,125001.0
58682,108150,1,Research & Consulting Services,58682.0,108151.0
78128,118657,1,Environmental & Facilities Services,78128.0,118658.0
80091,116999,1,Construction & Engineering,80091.0,117000.0
95208,157085,1,Research & Consulting Services,95208.0,157086.0
175000,208826,1,Research & Consulting Services,175000.0,208827.0
37.28,37.28,1,Diversified Support Services,37.28,38.28
85371,109990,1,IT Consulting & Other Services,85371.0,109991.0
58682,118820,2,Construction & Engineering,117364.0,118822.0
51500,51500,7,Research & Consulting Services,360500.0,51507.0
58682,159671,1,Construction & Engineering,58682.0,159672.0
62370,71726,1,Research & Consulting Services,62370.0,71727.0
100743,115854,1,IT Consulting & Other Services,100743.0,115855.0
57078,65640,4,Research & Consulting Services,228312.0,65644.0
68183,82785,45,Research & Consulting Services,3068235.0,82830.0
69090,79454,3,Research & Consulting Services,207270.0,79457.0
45523,52351,8,Diversified Support Services,364184.0,52359.0
64137,73758,1,Health Care Services,64137.0,73759.0
59116,75000,1,Research & Consulting Services,59116.0,75001.0
76970,76970,1,Research & Consulting Services,76970.0,76971.0
51528,60088,1,Research & Consulting Services,51528.0,60089.0
57976,66672,1,Human Resource & Employment Services,57976.0,66673.0
76059,87468,1,Research & Consulting Services,76059.0,87469.0
