min_salary,max_salary,vacany,description,min_expense,max_expense
15600.0,27600.0,1,Human Resource & Employment Services,15600.0,27601.0
9600.0,10800.0,0,Systems Software,0.0,10800.0
6000.0,14400.0,1,Systems Software,6000.0,14401.0
10800.0,19200.0,2,IT Consulting & Other Services,21600.0,19202.0
14400.0,19200.0,0,Systems Software,0.0,19200.0
6000.0,8400.0,0,Systems Software,0.0,8400.0
7200.0,13200.0,1,Systems Software,7200.0,13201.0
18000.0,36000.0,0,Investment Banking & Brokerage,0.0,36000.0
4800.0,9600.0,0,Regional Banks,0.0,9600.0
5400.0,10200.0,1,Research & Consulting Services,5400.0,10201.0
8400.0,14400.0,0,Systems Software,0.0,14400.0
9600.0,14400.0,1,Semiconductors,9600.0,14401.0
600.0,3600.0,0,Human Resource & Employment Services,0.0,3600.0
30000.0,36000.0,1,Data Processing & Outsourced Services,30000.0,36001.0
3600.0,6000.0,3,Human Resource & Employment Services,10800.0,6003.0
6000.0,14400.0,0,Application Software,0.0,14400.0
600.0,3600.0,3,Systems Software,1800.0,3603.0
1800.0,4800.0,200,Data Processing & Outsourced Services,360000.0,5000.0
1800.0,3000.0,1,Human Resource & Employment Services,1800.0,3001.0
4800.0,8400.0,0,Systems Software,0.0,8400.0
7200.0,12000.0,1,Communications Equipment,7200.0,12001.0
2100.0,3300.0,0,Technology Distributors,0.0,3300.0
15600.0,24000.0,1,Application Software,15600.0,24001.0
16800.0,22800.0,1,Systems Software,16800.0,22801.0
2400.0,3000.0,5,Internet & Direct Marketing Retail,12000.0,3005.0
4500.0,7200.0,0,Data Processing & Outsourced Services,0.0,7200.0
4200.0,7800.0,4,Data Processing & Outsourced Services,16800.0,7804.0
5400.0,6600.0,0,Regional Banks,0.0,6600.0
4800.0,10800.0,0,Application Software,0.0,10800.0
3600.0,6000.0,10,Application Software,36000.0,6010.0
10800.0,15600.0,1,IT Consulting & Other Services,10800.0,15601.0
6000.0,11400.0,4,Systems Software,24000.0,11404.0
600.0,840.0,0,Application Software,0.0,840.0
6000.0,10800.0,1,Systems Software,6000.0,10801.0
13200.0,22800.0,0,IT Consulting & Other Services,0.0,22800.0
9600.0,16800.0,0,IT Consulting & Other Services,0.0,16800.0
2400.0,4800.0,1,Systems Software,2400.0,4801.0
3000.0,6000.0,0,Movies & Entertainment,0.0,6000.0
10800.0,15600.0,1,IT Consulting & Other Services,10800.0,15601.0
6000.0,7200.0,0,Health Care Technology,0.0,7200.0
6000.0,10800.0,0,Data Processing & Outsourced Services,0.0,10800.0
16800.0,21600.0,1,Application Software,16800.0,21601.0
3000.0,5400.0,2,Technology Distributors,6000.0,5402.0
4800.0,10800.0,0,Systems Software,0.0,10800.0
15600.0,24000.0,1,Systems Software,15600.0,24001.0
1200.0,7200.0,0,IT Consulting & Other Services,0.0,7200.0
18000.0,24000.0,1,Application Software,18000.0,24001.0
9600.0,15600.0,1,Systems Software,9600.0,15601.0
840.0,1800.0,0,Advertising,0.0,1800.0
3600.0,4800.0,0,Specialty Stores,0.0,4800.0
1800.0,4800.0,200,Data Processing & Outsourced Services,360000.0,5000.0
12000.0,16800.0,1,Systems Software,12000.0,16801.0
3600.0,6600.0,0,Application Software,0.0,6600.0
7200.0,9600.0,0,Systems Software,0.0,9600.0
15600.0,27000.0,1,Health Care Technology,15600.0,27001.0
6000.0,10800.0,1,Construction & Engineering,6000.0,10801.0
4200.0,6000.0,0,Advertising,0.0,6000.0
2400.0,6000.0,0,IT Consulting & Other Services,0.0,6000.0
9600.0,18000.0,0,Systems Software,0.0,18000.0
16800.0,22800.0,1,Health Care Technology,16800.0,22801.0
14400.0,26400.0,0,Systems Software,0.0,26400.0
1800.0,3000.0,15,Data Processing & Outsourced Services,27000.0,3015.0
2100.0,3900.0,5,Human Resource & Employment Services,10500.0,3905.0
